學類代碼,學類名稱,畢業年度,到職年,碩士,學士,專科
4801,電算機一般學類,100,103,"49,852","29,212","25,594"
4802,網路學類,100,103,"78,077","28,822",
4803,軟體發展學類,100,103,"66,738","27,719","22,113"
4804,系統設計學類,100,103,"72,313",,
4805,電算機應用學類,100,103,"47,058","27,519","24,048"
4899,其他電算績學類,100,103,,,
5201,電資工程學類,100,103,"62,298","31,680","28,660"
5202,機械工程學類,100,103,"52,645","32,010","28,949"
5203,土木工程學類,100,103,"42,716","31,152","24,328"
5204,化學工程學類,100,103,"54,061","35,251","25,580"
5205,材料工程學類,100,103,"60,601","34,097",
5206,工業工程學類,100,103,"56,009","30,596","31,106"
5207,紡織工程學類,100,103,"42,519","28,419",
5208,測量工程學類,100,103,"45,632","35,747",
5209,環境工程學類,100,103,"44,064","28,970",
5210,河海工程學類,100,103,"39,669","30,866",
5211,生醫工程學類,100,103,"52,487","30,664",
5212,核子工程學類,100,103,"65,876","45,676",
5213,綜合工程學類,100,103,"57,012","31,724",
5299,其他工程學類,100,103,"47,025","35,299",
5801,建築學類,100,103,"42,786","29,201","26,736"
5802,景觀設計學類,100,103,"34,719","26,863",
5803,都巿規劃學類,100,103,"39,384","31,038",
5899,其他建築及都巿規劃學類,100,103,"53,868","29,757",
6201,一般農業學類,100,103,"41,565","30,190",
6202,畜牧學類,100,103,"42,664","30,968",
6203,園藝學類,100,103,"35,701","27,849","25,640"
6204,植物保護學類,100,103,"38,836","27,431",
6205,農業經濟及推廣學類,100,103,"42,410","33,355",
6206,食品科學類,100,103,"38,367","27,171","21,367"
6207,水土保持學類,100,103,"36,151","27,792",
6208,農業化學類,100,103,"39,181","33,191",
6209,農業技術學類,100,103,"35,512","22,970",
6210,林業學類,100,103,"39,460","30,452",
6211,漁業學類,100,103,"39,771","28,359",
6299,其他農林漁牧學類,100,103,,,
6401,獸醫學類,100,103,"42,666","33,459",
7201,醫學學類,100,103,"71,731","96,546",
7202,公共衛生學類,100,103,"73,629","29,759","29,031"
7203,藥學學類,100,103,"53,560","49,218",
7204,復健醫學學類,100,103,"54,095","38,687","25,447"
7205,營養學類,100,103,"36,696","28,147","24,895"
7206,護理學類,100,103,"69,710","52,190","42,673"
7207,醫學技術及檢驗學類,100,103,"51,524","35,602","26,390"
7208,牙醫學類,100,103,"74,589","61,496","21,281"
7299,其他醫藥衛生學類,100,103,"70,153","32,475",
7601,身心障礙服務學類,100,103,"56,721",,
7602,老年服務學類,100,103,"46,272","33,114","24,976"
7603,社會工作學類,100,103,"47,556","32,770",
7604,兒童保育學類,100,103,"49,013","26,541","24,560"
7699,其他社會服務學類,100,103,,,
8101,餐旅服務學類,100,103,"42,816","29,143","25,576"
8102,觀光休閒學類,100,103,"43,880","29,032","22,484"
8103,競技運動學類,100,103,"65,291","37,390",
8104,運動科技學類,100,103,"48,511","28,255",
8105,運動休閒及休閒管理學類,100,103,"50,942","29,458","22,194"
8106,生活應用科學學類,100,103,"40,371","28,232","25,620"
8107,服飾學類,100,103,"42,519","30,793","18,445"
8108,美容學類,100,103,"34,498","29,181","24,314"
8199,其他民生學類,100,103,"41,129","29,236",
8401,運輸管理學類,100,103,"49,711","35,007",
8402,航空學類,100,103,"45,720","31,714",
8403,航海學類,100,103,"50,848","50,928","32,660"
8501,環境資源學類,100,103,"60,282","27,816",
8502,環境防災學類,100,103,"38,242","31,147",
8599,其他環境保護學類,100,103,"35,677",,
8601,警政學類,100,103,,"24,444",
9901,其他不能歸類之各學類,100,103,"88,234",,
